City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country Code
matay,28.419,30.7792,295.89,21.0,0.0,4.54,EG
warragul,-38.1667,145.9333,290.93,75.0,100.0,5.81,AU
namibe,-15.1961,12.1522,304.15,55.0,20.0,5.66,AO
nueve de julio,-35.4444,-60.8831,295.93,75.0,5.0,3.13,AR
sao filipe,14.8961,-24.4956,296.52,63.0,85.0,3.0,CV
sisimiut,66.9395,-53.6735,257.37,85.0,84.0,7.17,GL
noumea,-22.2763,166.4572,300.37,100.0,49.0,1.03,NC
iracoubo,5.4802,-53.2011,298.95,75.0,100.0,7.48,GF
edmundston,47.3737,-68.3251,261.15,84.0,74.0,0.51,CA
athabasca,54.7169,-113.2854,246.15,69.0,89.0,3.09,CA
storforshei,66.4043,14.5233,267.59,86.0,0.0,1.54,NO
